,TTF_Price,Avg_Temp_C,HDD,Predicted_Price,Residuals
2023-10-02,39.334999084472656,18.8,0.0,65.09007233479805,-25.755073250325395
2023-10-03,36.98699951171875,16.6,1.3999999999999986,64.27159813296126,-27.28459862124251
2023-10-04,38.441001892089844,15.5,2.5,63.628511260089496,-25.187509367999652
2023-10-05,36.207000732421875,15.8,2.1999999999999993,63.803898589054526,-27.59689785663265
2023-10-06,38.23099899291992,16.7,1.3000000000000007,64.3300605759496,-26.09906158302968
2023-10-07,38.23099899291992,18.3,0.0,65.09007233479805,-26.85907334187813
2023-10-08,38.23099899291992,15.9,2.0999999999999996,63.86236103204287,-25.631362039122948
2023-10-09,43.952999114990234,17.4,0.6000000000000014,64.73929767686799,-20.786298561877757
2023-10-10,49.45500183105469,17.2,0.8000000000000007,64.62237279089132,-15.167370959836632
2023-10-11,46.06800079345703,17.7,0.3000000000000007,64.91468500583302,-18.84668421237599
2023-10-12,53.00199890136719,14.8,3.1999999999999993,63.21927415917111,-10.21727525780392
2023-10-13,53.981998443603516,17.8,0.1999999999999993,64.97314744882136,-10.99114900521785
2023-10-14,53.981998443603516,11.9,6.1,61.523863312509185,-7.5418648689056695
2023-10-15,53.981998443603516,8.7,9.3,59.65306513688223,-5.671066693278718
2023-10-16,48.46699905395508,9.3,8.7,60.003839794812286,-11.536840740857208
2023-10-17,48.895999908447266,8.6,9.4,59.59460269389389,-10.698602785446624
2023-10-18,50.83300018310547,9.3,8.7,60.003839794812286,-9.170839611706818
2023-10-19,50.172000885009766,14.6,3.4000000000000004,63.10234927319442,-12.930348388184655
2023-10-20,51.11199951171875,11.2,6.800000000000001,61.11462621159079,-10.002626699872039
2023-10-21,51.11199951171875,13.2,4.800000000000001,62.28387507135763,-11.171875559638877
2023-10-22,51.11199951171875,12.1,5.9,61.640788198485865,-10.528788686767115
2023-10-23,51.2760009765625,10.4,7.6,60.64692666768405,-9.370925691121549
2023-10-24,49.263999938964844,11.4,6.6,61.231551097567475,-11.967551158602632
2023-10-25,49.92399978637695,9.9,8.1,60.35461445274234,-10.430614666365386
2023-10-26,50.808998107910156,8.9,9.1,59.76999002285892,-8.960991914948764
2023-10-27,50.53200149536133,10.0,8.0,60.41307689573068,-9.881075400369355
2023-10-28,50.53200149536133,10.8,7.199999999999999,60.88077643963742,-10.348774944276094
2023-10-29,50.53200149536133,12.3,5.699999999999999,61.75771308446255,-11.225711589101223
2023-10-30,50.547000885009766,11.3,6.699999999999999,61.17308865457913,-10.626087769569367
2023-10-31,48.00600051879883,10.9,7.1,60.93923888262576,-12.93323836382693
2023-11-01,47.75699996948242,11.4,6.6,61.231551097567475,-13.474551128085054
2023-11-02,48.56399917602539,10.4,7.6,60.64692666768405,-12.082927491658658
2023-11-03,48.05699920654297,9.9,8.1,60.35461445274234,-12.29761524619937
2023-11-04,48.05699920654297,8.8,9.2,59.71152757987058,-11.654528373327608
2023-11-05,48.05699920654297,9.7,8.3,60.23768956676565,-12.180690360222684
2023-11-06,44.832000732421875,9.7,8.3,60.23768956676565,-15.405688834343778
2023-11-07,46.05699920654297,9.4,8.6,60.06230223780063,-14.005303031257661
2023-11-08,45.777000427246094,9.4,8.6,60.06230223780063,-14.285301810554536
2023-11-09,48.12900161743164,9.3,8.7,60.003839794812286,-11.874838177380646
2023-11-10,46.63199996948242,7.4,10.6,58.89305337803379,-12.26105340855137
2023-11-11,46.63199996948242,7.4,10.6,58.89305337803379,-12.26105340855137
2023-11-12,46.63199996948242,6.3,11.7,58.24996650516202,-11.6179665356796
2023-11-13,47.87300109863281,10.1,7.9,60.471539338719026,-12.598538240086214
2023-11-14,47.608001708984375,11.4,6.6,61.231551097567475,-13.6235493885831
2023-11-15,47.0369987487793,10.2,7.800000000000001,60.53000178170737,-13.493003032928073
2023-11-16,45.8489990234375,6.9,11.1,58.60074116309208,-12.751742139654581
2023-11-17,45.06399917602539,5.5,12.5,57.78226696125529,-12.718267785229898
2023-11-18,45.06399917602539,8.2,9.8,59.360752921940524,-14.296753745915133
2023-11-19,45.06399917602539,12.4,5.6,61.816175527450895,-16.752176351425504
2023-11-20,45.82099914550781,10.0,8.0,60.41307689573068,-14.59207775022287
2023-11-21,44.064998626708984,7.9,10.1,59.1853655929755,-15.120366966266516
2023-11-22,44.61600112915039,5.6,12.4,57.84072940424363,-13.224728275093241
2023-11-23,46.58000183105469,11.6,6.4,61.348475983544155,-14.768474152489468
2023-11-24,46.65700149536133,7.1,10.9,58.71766604906876,-12.060664553707433
2023-11-25,46.65700149536133,6.1,11.9,58.13304161918534,-11.476040123824014
2023-11-26,46.65700149536133,5.8,12.2,57.95765429022031,-11.300652794858983
2023-11-27,43.98400115966797,4.4,13.6,57.139180088383526,-13.155178928715557
2023-11-28,42.77399826049805,2.6,15.4,56.08685611459337,-13.31285785409532
